MOVIE, YEAR, MALE MENTIONS, FEMALE MENTIONS
Raabta (film),2017,72,80
Phoonk,2008,25,28
Ladies vs Ricky Bahl,2011,12,36
EMI - Liya Hai Toh Chukana Parega,2008,6,0
Mumbai Matinee,2003,16,1
Jyoti Bane Jwala,1980,7,8
Yeh Mohabbat Hai,2002,13,0
Jai Ho,2014,50,3
Piku,2015,51,24
Main Sunder Hoon,1971,55,28
Rehguzar,1985,16,1
Road  Movie,2010,12,1
Shuddh Desi Romance,2013,21,25
Sub Ka Saathi,1972,2,0
Yeh Teraa Ghar Yeh Meraa Ghar,2001,12,1
Hum To Mohabbat Karega,2000,3,4
Kal Ki Awaz,1992,12,0
Thakshak,1999,17,2
Aisa Yeh Jahaan,2015,6,2
Sadiyaan,2010,18,31
Dilwaala,1986,6,2
Humshakals,2014,28,25
Zamaane Ko Dikhana Hai,1981,40,5
Veerta,1991,58,7
Guest Iin London,2017,4,0
Silsila,1981,31,33
Saudagar (1991 film),1991,55,11
Aashayein,2010,52,18
Jaanam,1992,21,4
Ijaazat,1987,48,70
Patanga,1971,78,34
Salaam Bombay!,1988,71,5
Tujhe Meri Kasam,2003,43,84
Suhaag (1994 film),1994,45,7
Ab Tumhare Hawale Watan Saathiyo,2004,18,1
Gundaraj,1995,24,0
Baazi (1995 film),1995,34,0
Jaane Bhi Do Yaaro,1983,33,0
Bhagam Bhag,2006,115,75
Action Replayy,2010,58,37
Dilli Gang,2013,1,0
Sone Pe Suhaaga,1988,12,0
Bandhe Haath,1973,32,6
Hate Story,2012,60,55
Payback,2010,16,0
Khushi,2003,5,10
Aksar,2006,66,31
Jawab,1970,19,3
PK,2014,13,0
Nadiya Ke Paar,1982,5,11
Sharaabi,1984,15,1
Fever (2016 film),2016,22,27
Khoon Ka Rishta,1981,20,2
Mere Genie Uncle,2015,1,0
Break Ke Baad,2010,21,66
Mahaan,1983,21,12
Ek Chadar Maili Si,1986,8,5
Khamoshi: The Musical,1996,32,31
Kasak,1992,4,11
Ek Din 24 Ghante,2003,24,23
Hero,1983,36,10
Pyar Ki Kahani,1971,24,6
Anokha Rishta,1986,79,77
Red Swastik,2007,1,12
Boyss Toh Boyss Hain,2013,0,1
Netaji Subhas Chandra Bose: The Forgotten Hero,2005,52,0
Toofan Aur Bijlee,1975,6,19
Dharam Karam,1975,29,2
Sachaa Jhutha,1970,5,6
Mumbai Se Aaya Mera Dost,2003,13,4
Anokha Milan,1972,3,0
Bhookamp,1993,17,1
Sarfarosh (1999 film),1999,76,0
Andaaz,2003,54,72
Rishtey,2002,68,48
Loha (1987 film),1987,25,0
Elaan (2005 film),2005,124,16
Baton Baton Mein,1979,20,29
Izzatdaar,1990,14,0
Khakee,2004,136,10
Qila (film),1998,10,0
Satyamev Jayate,1987,18,7
Teri Meherbaniyan,1985,48,15
Ajooba,1991,29,12
Rakshak,1996,24,4
Chandra Mukhi,1993,1,3
Lagaan: Once Upon a Time in India,2001,59,27
The Hangman,2010,9,0
Bombay Velvet,2015,26,23
Koyelaanchal,2014,6,0
Mittal v/s Mittal,2010,0,30
Life Is Beautiful (2014 film),2014,11,2
The Naxalites,1980,3,0
Rajaji (film),1999,29,11
Ghayal Once Again,2016,74,9
Inaam Dus Hazaar,1987,49,12
